Date,Open,High,Low,Close,Adj Close,Volume
2022-10-14,26.459999,26.629999,25.760000,25.910000,25.153961,48185400
2022-10-17,26.309999,26.750000,26.170000,26.420000,25.649080,39416500
2022-10-18,26.740000,26.959999,25.540001,25.870001,25.115128,51126900
2022-10-19,25.740000,26.250000,25.690001,26.000000,25.241335,33882300
2022-10-20,26.150000,26.950001,25.950001,26.080000,25.319002,33247700
2022-10-21,25.850000,27.049999,25.790001,26.969999,26.183031,53058700
2022-10-24,26.750000,27.480000,26.520000,27.180000,26.386904,43831600
2022-10-25,27.180000,27.559999,27.000000,27.410000,26.610193,32205300
2022-10-26,27.190001,27.799999,26.990000,27.209999,26.416027,37111100
2022-10-27,27.450001,27.590000,26.129999,26.270000,25.503458,56305100
2022-10-28,28.180000,29.219999,27.860001,29.070000,28.221756,91695700
2022-10-31,29.080000,29.180000,28.049999,28.430000,27.600430,59507700
2022-11-01,28.799999,28.850000,27.889999,28.299999,27.474224,44418700
2022-11-02,28.270000,28.850000,27.410000,27.420000,26.619902,51956100
2022-11-03,27.450001,27.879999,27.170000,27.389999,26.590776,39678200
2022-11-04,27.570000,28.240000,27.410000,28.200001,27.746899,43051900
2022-11-07,28.360001,28.469999,27.889999,28.410000,27.953522,34389800
2022-11-08,28.760000,28.950001,27.930000,28.480000,28.022398,36258000
2022-11-09,28.219999,28.299999,27.520000,27.520000,27.077826,30544800
2022-11-10,28.879999,29.830000,28.650000,29.760000,29.281834,62943900
2022-11-11,28.930000,30.629999,28.870001,30.430000,29.941067,49826500
2022-11-14,30.340000,30.990000,30.180000,30.350000,29.862352,39395300
2022-11-15,31.100000,31.340000,30.170000,30.709999,30.216568,40933200
2022-11-16,30.110001,30.230000,29.440001,29.530001,29.055529,35582800
2022-11-17,29.070000,29.950001,29.000000,29.889999,29.409742,31983300
2022-11-18,30.260000,30.260000,29.610001,29.870001,29.390064,27122200
2022-11-21,29.660000,29.719999,28.910000,28.940001,28.475008,36086800
2022-11-22,29.139999,29.860001,29.059999,29.820000,29.340868,25584100
2022-11-23,29.730000,30.080000,29.490000,29.670000,29.193279,23143900
2022-11-25,29.680000,29.680000,29.340000,29.340000,28.868582,11314900
2022-11-28,29.100000,29.190001,28.540001,28.730000,28.268381,28267900
2022-11-29,28.850000,29.180000,28.740000,28.900000,28.435650,24361500
2022-11-30,28.770000,30.080000,28.219999,30.070000,29.586851,72072500
2022-12-01,30.240000,30.480000,29.520000,29.830000,29.350708,38896300
2022-12-02,29.170000,29.430000,28.709999,29.410000,28.937456,31546000
2022-12-05,29.420000,29.750000,28.889999,29.170000,28.701313,34040400
2022-12-06,29.190001,29.309999,28.340000,28.600000,28.140471,27701200
2022-12-07,28.280001,28.549999,28.150000,28.330000,27.874807,28239900
2022-12-08,28.320000,28.600000,28.070000,28.440001,27.983042,28486100
2022-12-09,28.389999,28.780001,28.190001,28.240000,27.786255,25641300
2022-12-12,28.129999,28.709999,27.860001,28.690001,28.229025,35117900
2022-12-13,29.790001,30.090000,28.370001,28.730000,28.268381,58546800
2022-12-14,28.510000,29.120001,28.010000,28.260000,27.805933,37141100
2022-12-15,27.940001,28.000000,27.120001,27.150000,26.713768,45682700
2022-12-16,27.000000,27.139999,26.450001,26.920000,26.487463,81104200
2022-12-19,26.900000,26.969999,26.500000,26.790001,26.359554,37662500
2022-12-20,26.540001,26.870001,26.420000,26.440001,26.015177,31863300
2022-12-21,26.590000,26.969999,26.580000,26.830000,26.398909,28100900
2022-12-22,26.450001,26.450001,25.350000,25.969999,25.552727,47478300
2022-12-23,25.920000,26.190001,25.680000,26.090000,25.670799,23600900
2022-12-27,25.850000,26.100000,25.650000,25.940001,25.523211,29548100
2022-12-28,25.840000,26.120001,25.500000,25.540001,25.129637,26176900
2022-12-29,25.770000,26.290001,25.750000,26.209999,25.788872,30944800
2022-12-30,25.900000,26.459999,25.799999,26.430000,26.005337,31030100
2023-01-03,27.049999,27.070000,26.370001,26.730000,26.300516,31308000
2023-01-04,27.410000,27.920000,27.160000,27.680000,27.235254,37665200
2023-01-05,27.440001,27.780001,27.379999,27.559999,27.117180,33552600
2023-01-06,27.930000,28.830000,27.379999,28.730000,28.268381,31788600
2023-01-09,28.840000,29.870001,28.840000,29.309999,28.839062,37493200
2023-01-10,29.240000,29.510000,28.920000,29.440001,28.966974,23008100
2023-01-11,29.680000,29.879999,29.000000,29.850000,29.370388,30375400
2023-01-12,29.980000,30.379999,29.469999,30.290001,29.803318,28963900
2023-01-13,29.969999,30.170000,29.809999,30.110001,29.626209,31361900
2023-01-17,30.180000,30.260000,29.520000,29.600000,29.124405,34759100
2023-01-18,29.799999,29.820000,28.629999,28.809999,28.347095,44199600
2023-01-19,28.610001,28.760000,28.240000,28.420000,27.963362,36886600
2023-01-20,28.420000,29.230000,28.250000,29.219999,28.750507,35158500
2023-01-23,29.330000,30.490000,29.180000,30.270000,29.783638,38795800
2023-01-24,29.940001,30.190001,29.730000,29.920000,29.439262,24855100
2023-01-25,29.520000,29.889999,29.170000,29.700001,29.222795,28268000
2023-01-26,30.059999,30.110001,29.330000,30.090000,29.606531,56088100
2023-01-27,27.070000,28.240000,26.780001,28.160000,27.707541,148548200
2023-01-30,27.719999,28.510000,27.670000,27.950001,27.500916,55145800
2023-01-31,27.780001,28.290001,27.530001,28.260000,27.805933,52621600
2023-02-01,27.889999,29.430000,27.680000,29.070000,28.602919,63330600
2023-02-02,29.250000,30.299999,28.799999,30.190001,29.704924,62230700
2023-02-03,29.620001,31.170000,29.530001,30.320000,29.832834,57603100
2023-02-06,29.549999,29.650000,28.610001,28.690001,28.572994,48726400
2023-02-07,28.650000,29.270000,28.430000,29.049999,28.931524,50780800
2023-02-08,28.950001,29.120001,28.209999,28.240000,28.124828,36479100
2023-02-09,28.680000,28.820000,27.570000,27.730000,27.616907,43906400
2023-02-10,27.629999,27.990000,27.340000,27.799999,27.686623,31232500
2023-02-13,27.870001,28.549999,27.719999,28.549999,28.433563,32347500
2023-02-14,28.379999,28.719999,27.990000,28.639999,28.523195,27928900
2023-02-15,28.360001,28.879999,28.160000,28.850000,28.732340,23359400
2023-02-16,28.500000,28.830000,28.129999,28.200001,28.084991,28972500
2023-02-17,28.000000,28.070000,27.379999,27.610001,27.497398,32086200
2023-02-21,27.110001,27.270000,26.040001,26.059999,25.953718,63668400
2023-02-22,25.910000,26.900000,25.299999,25.469999,25.366125,89195300
2023-02-23,25.780001,26.080000,25.320000,25.610001,25.505554,56473200
2023-02-24,25.219999,25.350000,24.920000,25.139999,25.037470,44089900
2023-02-27,25.549999,25.580000,24.879999,24.900000,24.798449,37657000
2023-02-28,24.940001,25.120001,24.730000,24.930000,24.828327,50255300
2023-03-01,25.030001,25.920000,24.969999,25.330000,25.226696,47823400
2023-03-02,25.209999,26.299999,25.120001,26.200001,26.093149,48309300
2023-03-03,26.200001,26.480000,26.010000,26.400000,26.292332,36744900
2023-03-06,26.469999,26.540001,25.930000,25.990000,25.884005,37879800
2023-03-07,25.840000,25.990000,25.500000,25.530001,25.425880,43164600
2023-03-08,25.559999,26.010000,25.450001,25.980000,25.874044,36071900
2023-03-09,25.980000,26.980000,25.969999,26.440001,26.332169,54886100
2023-03-10,26.549999,27.520000,26.320000,27.219999,27.108988,65187000
2023-03-13,26.740000,27.309999,26.610001,26.950001,26.840090,50977000
2023-03-14,27.350000,28.100000,27.250000,28.010000,27.895765,47689800
2023-03-15,27.730000,28.500000,27.660000,28.410000,28.294134,49322800
2023-03-16,28.389999,30.270000,28.389999,30.180000,30.056917,75779500
2023-03-17,29.920000,31.000000,29.440001,29.809999,29.688425,80628500
2023-03-20,29.799999,29.900000,28.629999,29.160000,29.041077,38780100
2023-03-21,29.000000,29.170000,27.980000,28.459999,28.343929,55650800
2023-03-22,28.480000,29.120001,28.100000,28.129999,28.015276,37415500
2023-03-23,28.379999,29.160000,28.219999,29.030001,28.911608,43785500
2023-03-24,29.040001,29.809999,28.930000,29.360001,29.240261,55912100
2023-03-27,29.370001,29.730000,29.080000,29.180000,29.060995,34758200
2023-03-28,29.080000,29.330000,28.629999,29.290001,29.170547,37407900
2023-03-29,29.770000,31.889999,29.760000,31.520000,31.391451,85556200
2023-03-30,31.850000,32.580002,31.809999,32.090000,31.959127,70077600
2023-03-31,31.799999,32.900002,31.730000,32.669998,32.536758,59765000
2023-04-03,32.939999,33.560001,32.540001,32.889999,32.755863,57038300
2023-04-04,32.849998,33.840000,32.840000,33.099998,32.965004,55714100
2023-04-05,32.799999,32.990002,32.340000,32.830002,32.696110,39615700
2023-04-06,32.599998,33.000000,32.459999,32.810001,32.676193,28551900
2023-04-10,32.599998,32.759998,32.200001,32.520000,32.387375,30534400
2023-04-11,32.660000,33.110001,32.320000,32.349998,32.218063,27059100
2023-04-12,32.770000,32.889999,31.959999,32.020000,31.889412,37070800
2023-04-13,31.820000,32.430000,31.650000,32.130001,31.998964,29722300
2023-04-14,32.000000,32.240002,31.690001,31.889999,31.759941,24623600
2023-04-17,31.950001,32.639999,31.770000,32.139999,32.008923,29601100
2023-04-18,32.430000,32.459999,31.780001,31.830000,31.700186,26041400
2023-04-19,31.100000,31.520000,31.080000,31.150000,31.022959,25746600
